,,,,,,,,,,,,,,,,,
KOTA MAKASSAR,,,,,,,,,,,,,,,,,
NO.,TAHAPAN DAN KELENGKAPAN,KECAMATAN,,,,,,,,,,,,,,,Jumlah keseluruhan yang memiliki kelengkapan
,,UJUNG PANDANG,RAPPOCINI,TAMALANREA,UJUNG TANAH,WAJO,MAKASSAR,TAMALATE ,TALLO ,MAMAJANG,BIRINGKANAYA, PANAKKUKANG,MARISO,SANGKARRANG,MANGGALA,BONTOALA,
1,Rapat Teknis Pembentukan Koperasi Koperasi Kelurahan Merah Putih ,10,11,8,9,8,14,11,15,13,11,11,9,2,8,12,152
,,,,,,,,,,,,,,,,,
2,Pembentukan Pengurus dan Pengawas,10,11,8,9,8,14,11,15,13,11,11,9,2,8,12,152
,,,,,,,,,,,,,,,,,
3,Pembuatan Akta Pendirian Koperasi,10,11,8,9,8,14,11,15,13,11,11,9,2,8,12,152
,,,,,,,,,,,,,,,,,
4,"Kesepakatan Simpan Pokok, Wajib dan Sukarela",10,11,8,8,8,14,11,14,12,11,10,9,2,8,12,148
,,,,,,,,,,,,,,,,,
5,Penetapan Anggaran Dasar,4,5,4,2,8,11,5,11,10,5,5,1,1,7,9,88
,,,,,,,,,,,,,,,,,
6,Penetapan Anggaran Rumah Tangga,4,5,4,1,7,9,3,11,7,5,4,0,1,4,8,73
,,,,,,,,,,,,,,,,,
7,Kantor Pengurus Koperasi,9,9,6,8,8,8,9,12,13,10,7,8,1,8,10,126
,,,,,,,,,,,,,,,,,
8,Kelengkapan Buku Wajib 16,3,3,2,0,4,4,3,6,2,2,2,1,1,3,0,36
,,,,,,,,,,,,,,,,,
9,Anggota Koperasi,8,10,5,3,7,7,6,10,10,7,6,6,1,6,10,102
,,,,,,,,,,,,,,,,,
10,Stempel,4,6,8,7,8,9,7,14,12,10,8,5,1,7,10,116
,,,,,,,,,,,,,,,,,
11,Rekening Koperasi,0,3,3,1,4,2,4,4,5,3,3,2,1,4,2,41
,,,,,,,,,,,,,,,,,
12,NPWP,8,10,8,4,7,12,10,10,13,9,6,9,1,8,10,125
,,,,,,,,,,,,,,,,,
13,Bidang Usaha yang akan dijalankan,7,9,5,5,5,8,6,7,10,8,5,5,1,6,8,95
,,,,,,,,,,,,,,,,,
14,NIB,6,9,6,3,8,12,8,8,12,6,6,9,1,8,9,111
,,,,,,,,,,,,,,,,,
15,KBLI usaha yang dijalankan ,7,5,2,3,4,10,5,6,8,5,2,2,1,6,4,70
,,,,,,,,,,,,,,,,,
16,Nomor Induk Koperasi,8,9,6,7,8,12,10,11,13,6,6,7,1,8,9,121
,,,,,,,,,,,,,,,,,
17,Membuat/Mencetak Struktur Pengurus dan Dewan Pengawas,3,4,6,3,3,5,2,8,4,1,2,1,0,5,5,52
,,,,,,,,,,,,,,,,,
18,Membuat Formulir Permohonan Menjadi Anggota,2,6,6,2,5,8,4,6,4,5,3,1,1,5,8,66
,,,,,,,,,,,,,,,,,
19,Membuat Kartu Anggota ,0,2,5,0,1,0,3,1,3,1,1,0,1,2,3,23
,,,,,,,,,,,,,,,,,
20,Membagi Tugas dan Fungsi Pengurus Sesuai Anggaran Dasar,3,5,2,1,4,5,5,9,6,5,2,2,1,5,7,62
,,,,,,,,,,,,,,,,,
21,Sosialisasi Kemasyarakatan untuk menjadi Anggota,6,5,6,2,5,5,3,5,4,6,3,1,1,4,9,65
,,,,,,,,,,,,,,,,,
22,Proposal Bidang usaha yang mau dijalankan,0,2,0,0,3,0,0,0,1,3,1,1,0,0,0,11
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"keterangan : angka 0 ,berarti kelengkapan tidak ada",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Jumlah kelurahan yang lengkap kelengkapannya,,,,,,,,,,,,,,,,
,1. KKMP Gunung Sari kec.Rappocini,,,,,,,,,,,,,,,,
,2.KKMP Parang Kec.Mamajang,,,,,,,,,,,,,,,,
,3.KKMP Katimbang Kec.Biringkanaya,,,,,,,,,,,,,,,,
,4.KKMP Masale Kec.Panakkukang,,,,,,,,,,,,,,,,